frame,x,y,radius
0,,,
1,,,
2,,,
3,,,
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,933.0,853.0,66.0
67,,,
68,963.0,818.0,70.0
69,976.0,807.0,68.0
70,989.0,801.0,66.0
71,999.0,790.0,65.0
72,1016.0,768.0,65.0
73,1025.0,761.0,63.0
74,1043.0,755.0,64.0
75,1054.0,735.0,59.0
76,1061.0,706.0,53.0
77,1072.0,691.0,56.0
78,1083.0,677.0,53.0
79,1091.0,669.0,55.0
80,1100.0,658.0,55.0
81,1112.0,645.0,54.0
82,1120.0,633.0,53.0
83,1128.0,620.0,51.0
84,1139.0,612.0,50.0
85,1145.0,601.0,51.0
86,1153.0,591.0,49.0
87,1160.0,584.0,49.0
88,1167.0,576.0,46.0
89,1173.0,561.0,46.0
90,1181.0,557.0,46.0
91,1183.0,548.0,48.0
92,1193.0,537.0,44.0
93,1199.0,531.0,45.0
94,1206.0,521.0,43.0
95,1211.0,512.0,43.0
96,1217.0,506.0,43.0
97,1222.0,500.0,41.0
98,1225.0,493.0,39.0
99,1232.0,487.0,40.0
100,1237.0,480.0,40.0
101,1241.0,477.0,40.0
102,1245.0,470.0,40.0
103,1250.0,464.0,38.0
104,1254.0,459.0,38.0
105,1258.0,452.0,37.0
106,1262.0,445.0,38.0
107,1267.0,440.0,37.0
108,1271.0,436.0,35.0
109,1276.0,430.0,36.0
110,1280.0,424.0,36.0
111,1281.0,422.0,34.0
112,1285.0,415.0,34.0
113,1292.0,410.0,33.0
114,1293.0,405.0,33.0
115,1297.0,398.0,34.0
116,1300.0,395.0,33.0
117,1304.0,388.0,34.0
118,1306.0,384.0,33.0
119,1309.0,382.0,32.0
120,1311.0,378.0,31.0
121,1314.0,373.0,32.0
122,1318.0,372.0,29.0
123,1319.0,367.0,30.0
124,1323.0,362.0,31.0
125,1327.0,358.0,32.0
126,1328.0,354.0,30.0
127,1333.0,352.0,31.0
128,1333.0,348.0,29.0
129,1336.0,345.0,29.0
130,1337.0,342.0,29.0
131,1341.0,337.0,28.0
132,1342.0,333.0,28.0
133,1345.0,332.0,28.0
134,1346.0,329.0,27.0
135,1348.0,326.0,27.0
136,1351.0,323.0,27.0
137,1353.0,318.0,27.0
138,1354.0,315.0,27.0
139,1356.0,316.0,27.0
